order_id,product_id,quantity,discount
O00001,P0008,1,0.1
O00001,P0151,2,0.0
O00001,P0141,1,0.05
O00002,P0179,2,0.15
O00002,P0148,1,0.0
O00003,P0059,1,0.0
O00003,P0091,1,0.0
O00004,P0139,3,0.05
O00004,P0183,2,0.0
O00005,P0067,1,0.05
O00006,P0084,2,0.0
O00006,P0001,1,0.15
O00007,P0050,4,0.0
O00008,P0143,2,0.0
O00008,P0019,3,0.0
O00009,P0150,2,0.05
O00010,P0156,5,0.05
O00010,P0197,2,0.0
O00011,P0185,1,0.0
O00011,P0079,2,0.1
O00012,P0044,3,0.2
O00012,P0063,1,0.0
O00013,P0183,1,0.1
O00013,P0155,1,0.05
O00014,P0081,2,0.0
O00014,P0005,2,0.05
O00015,P0158,2,0.1
O00015,P0013,2,0.1
O00016,P0117,1,0.0
O00017,P0010,5,0.15
O00017,P0191,1,0.05
O00017,P0045,5,0.05
O00018,P0053,1,0.1
O00018,P0003,1,0.05
O00018,P0109,4,0.0
O00018,P0085,1,0.15
O00019,P0136,3,0.1
O00019,P0048,2,0.0
O00019,P0160,2,0.1
O00020,P0162,1,0.1
O00020,P0025,3,0.0
O00020,P0028,2,0.05
O00021,P0009,1,0.15
O00022,P0158,1,0.05
O00022,P0104,1,0.0
O00023,P0151,3,0.0
O00023,P0125,1,0.0
O00024,P0149,1,0.0
O00024,P0030,1,0.05
O00024,P0098,3,0.05
O00025,P0124,1,0.0
O00026,P0121,2,0.15
O00026,P0050,1,0.05
O00026,P0196,2,0.1
O00027,P0169,2,0.0
O00028,P0120,4,0.05
O00029,P0104,1,0.05
O00029,P0149,2,0.05
O00030,P0004,2,0.05
O00030,P0030,2,0.0
O00031,P0047,1,0.1
O00032,P0047,3,0.0
O00032,P0154,1,0.05
O00033,P0062,3,0.15
O00033,P0060,4,0.0
O00034,P0153,1,0.0
O00034,P0064,3,0.05
O00034,P0059,1,0.0
O00035,P0175,4,0.0
O00035,P0120,1,0.15
O00035,P0017,1,0.05
O00036,P0030,2,0.0
O00037,P0019,4,0.1
O00037,P0017,3,0.05
